,name,role,club,games-started,minutes-played,clean-sheets,goals-conceded,defensive-contribution,bonus,ict-index,saves,assists,penalties-saved,points,red-cards,own-goals,goals-scored,current-price,season_year,Performance
186,Aaron Wan-Bissaka,Defender,West Ham,16,1432,8,10,0,3,65.5,0,0,0,67,0,0,0,4.5,2023,43.0
187,Gabriel dos Santos Magalhães,Defender,Arsenal,28,2363,10,22,159,9,108.2,0,2,0,117,0,0,3,6.0,2025,80.0
188,Gabriel dos Santos Magalhães,Defender,Arsenal,34,3042,16,26,0,8,117.9,0,1,0,149,0,1,3,6.0,2024,81.0
189,Gabriel dos Santos Magalhães,Defender,Arsenal,38,3409,14,43,0,15,127.7,0,0,0,146,0,0,3,6.0,2023,68.0
190,Dejan Kulusevski,Midfielder,Spurs,27,2386,6,41,193,9,218.7,0,4,0,117,0,0,7,6.5,2025,37.0
191,Dejan Kulusevski,Midfielder,Spurs,31,2759,8,46,0,14,260.1,0,3,0,130,0,0,8,6.5,2024,36.0
192,Dejan Kulusevski,Midfielder,Spurs,23,2062,8,40,0,5,156.0,0,7,0,96,0,0,2,6.5,2023,8.0
193,Martin Ødegaard,Midfielder,Arsenal,26,2321,11,21,127,11,198.8,0,9,0,116,0,0,3,8.0,2025,96.0
194,Martin Ødegaard,Midfielder,Arsenal,35,3098,19,23,0,26,317.0,0,11,0,186,0,0,8,8.0,2024,180.0
195,Martin Ødegaard,Midfielder,Arsenal,37,3132,13,38,0,30,304.9,0,8,0,212,0,0,15,8.0,2023,145.0
196,Marc Guéhi,Defender,Crystal Palace,34,3059,11,42,268,11,131.0,0,2,0,116,1,3,3,4.5,2025,48.0
197,Marc Guéhi,Defender,Crystal Palace,23,2020,6,32,0,6,56.1,0,1,0,66,0,0,0,4.5,2024,6.0
198,Marc Guéhi,Defender,Crystal Palace,37,3330,9,46,0,2,106.7,0,0,0,95,0,1,1,4.5,2023,-10.0
199,Bernd Leno,Goalkeeper,Fulham,38,3420,5,54,0,5,98.6,110,2,1,115,0,0,0,5.0,2025,92.0
200,Bernd Leno,Goalkeeper,Fulham,38,3420,10,61,0,15,106.7,134,0,0,133,0,1,0,5.0,2024,141.0
201,Bernd Leno,Goalkeeper,Fulham,36,3240,8,51,0,17,116.6,144,0,1,142,0,0,0,5.0,2023,179.0
202,Dan Burn,Defender,Newcastle,37,3330,13,45,286,9,115.8,0,1,0,115,0,2,1,5.0,2025,56.0
203,Dan Burn,Defender,Newcastle,32,2725,8,45,0,4,109.7,0,2,0,97,0,0,2,5.0,2024,-4.0
204,Dan Burn,Defender,Newcastle,35,3109,14,30,0,6,105.3,0,0,0,129,0,0,1,5.0,2023,60.0
205,Jurriën Timber,Defender,Arsenal,27,2415,11,21,125,9,94.2,0,3,0,114,0,0,1,5.5,2025,82.0
207,Maxence Lacroix,Defender,Crystal Palace,35,3116,11,45,347,9,111.4,0,2,0,114,0,0,1,5.0,2025,62.0
208,Iliman Ndiaye,Midfielder,Everton,29,2426,15,24,265,21,142.0,0,0,0,114,0,0,9,6.5,2025,148.0
209,Emile Smith Rowe,Midfielder,Fulham,25,2036,7,28,135,15,124.4,0,3,0,114,0,0,6,6.0,2025,73.0
210,Emile Smith Rowe,Midfielder,Fulham,3,343,3,3,0,0,25.6,0,2,0,25,0,0,0,6.0,2024,14.0
212,Alisson Becker,Goalkeeper,Liverpool,28,2508,10,29,0,9,64.0,78,0,0,112,0,0,0,5.5,2025,124.0
213,Alisson Becker,Goalkeeper,Liverpool,28,2520,8,30,0,9,68.1,83,0,0,107,0,0,0,5.5,2024,119.0
214,Alisson Becker,Goalkeeper,Liverpool,37,3330,14,43,0,15,97.6,107,1,1,162,0,0,0,5.5,2023,179.0
215,Emiliano Martínez Romero,Goalkeeper,Aston Villa,37,3195,8,47,0,6,86.0,100,0,1,111,1,0,0,5.0,2025,101.0
216,Emiliano Martínez Romero,Goalkeeper,Aston Villa,34,3015,8,48,0,19,82.2,95,0,0,115,0,2,0,5.0,2024,120.0
217,Emiliano Martínez Romero,Goalkeeper,Aston Villa,36,3139,11,38,0,15,85.7,98,0,1,135,0,1,0,5.0,2023,158.0
218,Dango Ouattara,Midfielder,Bournemouth,21,1998,7,23,196,7,187.2,0,4,0,111,0,0,7,6.0,2025,67.0
