,role,name,club,season,points,games-started,minutes-played,goals-scored,assists,clean-sheets,goals-conceded,defensive-contribution,own-goals,penalties-saved,saves,bonus,red-cards,ict-index,current-price
640,Midfielder,Jack Grealish,Man City,2024/25,38,7,710,1,1,2,10,44,0,0,0,4,0,71.3,£6.5m
641,Midfielder,Jack Grealish,Man City,2023/24,50,10,998,3,1,3,13,0,0,0,0,6,0,91.9,£6.5m
642,Midfielder,Jack Grealish,Man City,2022/23,121,23,2051,5,10,10,16,0,0,0,0,9,0,191.7,£6.5m
643,Defender,Myles Lewis-Skelly,Arsenal,2024/25,37,15,1362,1,0,5,16,54,0,0,0,0,2,40.0,£5.5m
644,Defender,Myles Lewis-Skelly,Arsenal,2023/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,£5.5m
645,Midfielder,Hwang Hee-chan,Wolves,2024/25,37,5,646,2,1,0,19,46,0,0,0,0,0,26.7,£6.0m
646,Midfielder,Hwang Hee-chan,Wolves,2023/24,125,25,2116,12,3,3,37,0,0,0,0,10,0,140.7,£6.0m
647,Midfielder,Hwang Hee-chan,Wolves,2022/23,60,12,1117,3,2,3,18,0,0,0,0,3,0,58.8,£6.0m
648,Defender,Mads Roerslev Rasmussen,Brentford,2024/25,36,11,1100,0,2,2,20,58,0,0,0,0,0,48.0,£4.5m
649,Defender,Mads Roerslev Rasmussen,Brentford,2023/24,75,22,1975,1,2,5,40,0,0,0,0,3,0,76.3,£4.5m
650,Defender,Mads Roerslev Rasmussen,Brentford,2022/23,48,12,1101,0,0,5,12,0,0,0,0,0,0,33.4,£4.5m
651,Defender,Felipe Rodrigues da Silva,Nott'm Forest,2024/25,36,6,891,0,0,3,14,112,0,0,0,2,0,24.0,£4.5m
652,Midfielder,Guido Rodríguez,West Ham,2024/25,36,16,1147,0,1,4,19,141,0,0,0,0,0,31.5,£5.0m
653,Midfielder,Fábio Freitas Gouveia Carvalho,Brentford,2024/25,35,3,443,2,1,0,14,49,0,0,0,1,0,36.3,£5.0m
654,Midfielder,Fábio Freitas Gouveia Carvalho,Brentford,2022/23,27,4,339,2,1,0,3,0,0,0,0,0,0,29.7,£5.0m
